trade_date,nav,total_equity,stock_val,etf_val,cash,futures_margin,im_lots
20250110,1.2178509354348348,2679272.0579566364,0.0,1583686.5,1095585.5579566364,0.0,0
20250113,1.2187343204422616,2681215.5049729757,0.0,1430579.9999999998,1250635.5049729757,0.0,0
20250114,1.2391406965103984,2726109.5323228766,0.0,1008482.3999999999,1717627.1323228767,0.0,0
20250115,1.2288115344644799,2703385.375821856,0.0,847633.9,1855751.4758218557,0.0,0
20250116,1.2305279581853608,2707161.5080077937,0.0,1170167.4,1536994.1080077935,0.0,0
20250117,1.237150856753278,2721731.8848572117,0.0,1734480.0,987251.8848572118,0.0,0
20250120,1.2414568291996657,2731205.0242392644,0.0,1434534.3,1296670.7242392641,0.0,0
20250121,1.2454987832003006,2740097.3230406614,0.0,1265685.5999999999,1474411.7230406615,0.0,0
20250122,1.2414699910201261,2731233.9802442775,0.0,908218.5000000001,1823015.4802442775,0.0,0
20250123,1.2401553245292798,2728341.7139644157,0.0,764990.7000000001,1963351.0139644155,0.0,0
20250124,1.2439481692533312,2736685.9723573285,0.0,449344.0,2287341.9723573285,0.0,0
20250127,1.2402580949472588,2728567.808883969,0.0,441036.8,2287531.0088839694,0.0,0
20250205,1.241804446326594,2731969.781918507,0.0,0.0,2731969.781918507,0.0,0
20250206,1.2444148720869141,2737712.718591211,0.0,199962.0,2537750.718591211,0.0,0
20250207,1.2484933193147598,2746685.3024924714,0.0,559249.0,2187436.3024924714,0.0,0
20250210,1.2555748998290424,2762264.779623893,0.0,1408605.9000000001,1353658.8796238927,0.0,0
20250211,1.2539114192149539,2758605.1222728984,0.0,2078298.6,680306.5222728983,0.0,0
20250212,1.2693974194738518,2792674.322842474,0.0,2294183.0,498491.32284247386,0.0,0
20250213,1.2594648729420277,2770822.720472461,0.0,2272290.2,498532.52047246083,0.0,0
20250214,1.2619699496307644,2776333.8891876815,0.0,1825000.0,951333.8891876814,0.0,0
20250217,1.2656556871923414,2784442.5118231513,0.0,1833030.0,951412.5118231514,0.0,0
20250218,1.2491005186165272,2748021.14095636,0.0,1796530.0,951491.1409563599,0.0,0
20250219,1.2637805621932223,2780317.236825089,0.0,1524947.6,1255369.636825089,0.0,0
20250220,1.2685112210826597,2790724.6863818513,0.0,1535251.3,1255473.3863818515,0.0,0
20250221,1.2817823838695261,2819921.2445129575,0.0,1564344.0999999999,1255577.1445129574,0.0,0
20250224,1.2831610491127046,2822954.30804795,0.0,1940042.5,882911.8080479498,0.0,0
20250225,1.2789161571964656,2813615.545832224,0.0,1796909.4,1016706.1458322244,0.0,0
20250226,1.2888905099674473,2835559.121928384,0.0,1419140.5999999999,1416418.5219283842,0.0,0
20250227,1.2857930103758535,2828744.6228268775,0.0,1159860.0,1668884.6228268775,0.0,0
20250228,1.2695998291245962,2793119.6240741117,0.0,986320.8,1806798.8240741119,0.0,0
20250303,1.2693908591276122,2792659.8900807467,0.0,696722.4,2095937.4900807466,0.0,0
20250304,1.2673179069152287,2788099.3952135034,0.0,0.0,2788099.3952135034,0.0,0
20250305,1.2674226439323293,2788329.8166511245,0.0,0.0,2788329.8166511245,0.0,0
20250306,1.2684257793586797,2790536.714589095,0.0,127563.2,2662973.514589095,0.0,0
20250307,1.267770604224747,2789095.329294443,0.0,576043.9,2213051.429294443,0.0,0
20250310,1.268155511866719,2789942.1261067814,0.0,576707.7999999999,2213234.3261067816,0.0,0
20250311,1.2700492900157088,2794108.438034559,0.0,580691.2000000001,2213417.238034559,0.0,0
20250312,1.270478677476316,2795053.090447895,0.0,426787.2,2368265.890447895,0.0,0
20250313,1.2654622444762045,2784016.9378476497,0.0,765271.6,2018745.3378476496,0.0,0
20250314,1.2713176710478742,2796898.876305323,0.0,777986.7,2018912.176305323,0.0,0
20250317,1.271911136873323,2798204.5011213105,0.0,1047541.7999999999,1750662.7011213105,0.0,0
20250318,1.27396540181326,2802723.883989172,0.0,1051916.5,1750807.3839891718,0.0,0
20250319,1.2703247585902036,2794714.4688984477,0.0,1319016.7,1475697.7688984477,0.0,0
20250320,1.2680731697224263,2789760.973389338,0.0,1013700.0,1776060.973389338,0.0,0
20250321,1.2586285251308933,2768982.7552879653,0.0,992774.9999999999,1776207.7552879653,0.0,0
20250324,1.2556048599233798,2762330.6918314355,0.0,833267.6,1929063.0918314357,0.0,0
20250325,1.2534213366850024,2757526.9407070056,0.0,672912.5,2084614.4407070056,0.0,0
20250326,1.2526454814266568,2755820.059138645,0.0,0.0,2755820.059138645,0.0,0
20250327,1.2527490058466093,2756047.8128625406,0.0,0.0,2756047.8128625406,0.0,0
20250328,1.2528525388222993,2756275.5854090583,0.0,0.0,2756275.5854090583,0.0,0
20250331,1.2529560803544333,2756503.3767797532,0.0,0.0,2756503.3767797532,0.0,0
20250401,1.2530596304437187,2756731.1869761813,0.0,0.0,2756731.1869761813,0.0,0
20250402,1.2531631890908628,2756959.0159998983,0.0,0.0,2756959.0159998983,0.0,0
20250403,1.253266756296573,2757186.8638524604,0.0,0.0,2757186.8638524604,0.0,0
20250407,1.2533703320615561,2757414.7305354234,0.0,0.0,2757414.7305354234,0.0,0
20250408,1.2534739163865198,2757642.6160503435,0.0,0.0,2757642.6160503435,0.0,0
20250409,1.2535775092721715,2757870.5203987774,0.0,0.0,2757870.5203987774,0.0,0
20250410,1.2551459045644329,2761320.9900417523,0.0,447334.2,2313986.790041752,0.0,0
20250411,1.2646160102966606,2782155.222652653,0.0,1231715.1,1550440.1226526531,0.0,0
20250414,1.2720818446363544,2798580.05819998,0.0,1248011.8,1550568.2581999798,0.0,0
20250415,1.2699895019713732,2793976.904337021,0.0,1243280.5,1550696.404337021,0.0,0
20250416,1.2644200218242148,2781724.048013272,0.0,762377.5,2019346.5480132722,0.0,0
20250417,1.2640861452134928,2780989.5194696845,0.0,557369.6,2223619.9194696844,0.0,0
20250418,1.2637358589595284,2780218.889710963,0.0,556415.2,2223803.689710963,0.0,0
20250421,1.2690252159726658,2791855.4751398647,0.0,567868.0,2223987.4751398647,0.0,0
20250422,1.2692552692751433,2792361.5924053155,0.0,1042916.0,1749445.5924053155,0.0,0
20250423,1.2721095339480362,2798640.9746856797,0.0,1049050.8,1749590.1746856796,0.0,0
20250424,1.267594076779542,2788706.968914992,0.0,1038972.2,1749734.7689149925,0.0,0
20250425,1.2681335399907165,2789893.7879795763,0.0,585446.4,2204447.3879795764,0.0,0
20250428,1.2679933401288943,2789585.3482835675,0.0,0.0,2789585.3482835675,0.0,0
20250429,1.2680981329669214,2789815.8925272273,0.0,0.0,2789815.8925272273,0.0,0
20250430,1.2682029344655137,2790046.45582413,0.0,0.0,2790046.45582413,0.0,0
20250506,1.2683077446253868,2790277.038175851,0.0,0.0,2790277.038175851,0.0,0
20250507,1.2660543317400181,2785319.52982804,0.0,518861.2,2266458.3298280397,0.0,0
20250508,1.2707284904620089,2795602.6790164197,0.0,1046570.4,1749032.2790164198,0.0,0
20250509,1.2635888528625188,2779895.4762975415,0.0,1327677.5999999999,1452217.8762975417,0.0,0
20250512,1.2704620882508553,2795016.5941518815,0.0,911551.9,1883464.6941518814,0.0,0
20250513,1.2703636932650548,2794800.125183121,0.0,617469.6000000001,2177330.5251831207,0.0,0
20250514,1.2708247490832734,2795814.4479832016,0.0,383527.2,2412287.2479832014,0.0,0
20250515,1.265195541492845,2783430.1912842593,0.0,813622.7999999999,1969807.3912842595,0.0,0
20250516,1.266254762726138,2785760.4779975037,0.0,1080051.2,1705709.2779975038,0.0,0
20250519,1.269909781985846,2793801.520368861,0.0,1481190.9000000001,1312610.620368861,0.0,0
20250520,1.2768092094538166,2808980.2607983965,0.0,1814492.1,994488.1607983964,0.0,0
20250521,1.2747425231265874,2804433.550878492,0.0,2020882.4999999998,783551.0508784922,0.0,0
20250522,1.2663628014146944,2785998.1631123275,0.0,1812341.7,973656.4631123273,0.0,0
20250523,1.2592819435353941,2770420.275777867,0.0,1074654.8,1695765.4757778673,0.0,0
20250526,1.258938507056848,2769664.7155250655,0.0,0.0,2769664.7155250655,0.0,0
20250527,1.2590340466047958,2769874.9025305505,0.0,111777.59999999999,2658097.3025305504,0.0,0
20250528,1.2583789626502362,2768433.7178305197,0.0,630306.9,2138126.8178305198,0.0,0
20250529,1.2661871073754951,2785611.636226089,0.0,1013867.0000000001,1771744.6362260892,0.0,0
20250530,1.2605359460926007,2773179.0814037216,0.0,1482876.0,1290303.0814037216,0.0,0
20250603,1.2626937928938045,2777926.34436637,0.0,1139804.4,1638121.94436637,0.0,0
20250604,1.2674343301569289,2788355.5263452437,0.0,1150098.2000000002,1638257.3263452433,0.0,0
20250605,1.2711359779767168,2796499.1515487772,0.0,992439.0000000001,1804060.1515487772,0.0,0
20250606,1.2700948853686629,2794208.7478110585,0.0,1135601.5999999999,1658607.1478110587,0.0,0
20250609,1.2742726853090602,2803399.9076799327,0.0,872051.8,1931348.1076799326,0.0,0
20250610,1.27085423783001,2795879.323226022,0.0,864371.6,1931507.723226022,0.0,0
20250611,1.27293946132085,2800466.8149058702,0.0,1021162.2000000001,1779304.6149058703,0.0,0
20250612,1.2741249778041608,2803074.9511691537,0.0,1185217.8,1617857.1511691534,0.0,0
20250613,1.2665268997078212,2786359.1793572064,0.0,1320974.8,1465384.3793572064,0.0,0
20250616,1.268744699289644,2791238.338437217,0.0,1031735.6,1759502.7384372167,0.0,0
20250617,1.2682418872212158,2790132.1518866746,0.0,1030484.0000000001,1759648.1518866743,0.0,0
20250618,1.2679229512207943,2789430.4926857473,0.0,0.0,2789430.4926857473,0.0,0
20250619,1.2674641980627264,2788421.235737998,0.0,114295.29999999999,2674125.935737998,0.0,0
20250620,1.2674790440811912,2788453.8969786204,0.0,0.0,2788453.8969786204,0.0,0
20250623,1.2675837944154127,2788684.3477139077,0.0,0.0,2788684.3477139077,0.0,0
20250624,1.2706891386594261,2795516.1050507375,0.0,377841.00000000006,2417675.1050507375,0.0,0
20250625,1.275987155544407,2807171.742197695,0.0,824852.9,1982318.8421976953,0.0,0
20250626,1.2733935176168225,2801465.7387570096,0.0,1429092.0,1372373.7387570094,0.0,0
20250627,1.2757650263973919,2806683.058074262,0.0,1434195.9,1372487.158074262,0.0,0
20250630,1.2831822807999465,2823001.0177598824,0.0,1238983.2,1584017.8177598824,0.0,0
20250701,1.2847805128742424,2826517.1283233333,0.0,1242368.4,1584148.7283233337,0.0,0
20250702,1.2804952780243026,2817089.611653466,0.0,981228.3999999999,1835861.2116534656,0.0,0
20250703,1.2824912435093385,2821480.7357205446,0.0,985467.7999999999,1836012.9357205445,0.0,0
20250704,1.2808942752598094,2817967.4055715804,0.0,733026.6000000001,2084940.8055715803,0.0,0
20250707,1.2808689165645821,2817911.6164420806,0.0,388620.0,2429291.6164420806,0.0,0
20250708,1.2847405892794903,2826429.2964148787,0.0,600210.6,2226218.6964148786,0.0,0
20250709,1.283736455364862,2824220.2018026966,0.0,718488.6,2105731.6018026965,0.0,0
20250710,1.2847818393335317,2826520.04653377,0.0,1140394.5,1686125.5465337697,0.0,0
20250711,1.2908839236224692,2839944.6319694323,0.0,1361376.2,1478568.4319694324,0.0,0
20250714,1.2903524136938882,2838775.310126554,0.0,1477386.9000000001,1361388.410126554,0.0,0
20250715,1.2880852370751852,2833787.5215654075,0.0,1472286.5999999999,1361500.9215654074,0.0,0
20250716,1.2904423539110585,2838973.178604329,0.0,1205358.0,1633615.178604329,0.0,0
20250717,1.2970137218741917,2853430.188123222,0.0,1219680.0,1633750.188123222,0.0,0
20250718,1.2983994374492451,2856478.7623883393,0.0,1330673.4,1525805.3623883396,0.0,0
20250721,1.3043542928488823,2869579.444267541,0.0,1590928.4000000001,1278651.0442675408,0.0,0
20250722,1.3092865925995099,2880430.5037189214,0.0,1860280.4000000001,1020150.1037189213,0.0,0
20250723,1.3055422292526846,2872192.904355906,0.0,2149361.1999999997,722831.7043559063,0.0,0
20250724,1.3178370497074243,2899241.5093563334,0.0,2043340.0,855901.5093563333,0.0,0
20250725,1.31730734034412,2898076.148757064,0.0,1785113.6,1112962.548757064,0.0,0
20250728,1.3186175702518832,2900958.654554143,0.0,960920.8,1940037.854554143,0.0,0
20250729,1.3210133657913794,2906229.404741035,0.0,674341.7999999999,2231887.604741035,0.0,0
20250730,1.3194523687941728,2902795.2113471804,0.0,338164.4,2564630.8113471805,0.0,0
20250731,1.3178191924683331,2899202.2234303327,0.0,643835.5,2255366.7234303327,0.0,0
20250801,1.3177048131708262,2898950.588975818,0.0,891383.0,2007567.588975818,0.0,0
20250804,1.3227452289329966,2910039.5036525927,0.0,902306.0,2007733.5036525927,0.0,0
20250805,1.3252279236551474,2915501.432041324,0.0,907602.0,2007899.4320413242,0.0,0
