trade_date,nav_b0,nav_b1,nav_bh,equity_b0,equity_b1,cash_b0,cash_b1,etf_val_b0,etf_val_b1
20230310,1.0291944646164877,1.033486337578439,1.0824922114458178,2264227.822156273,2273669.942672566,1458195.522156273,1769323.2426725659,806032.3,504346.7
20230313,1.0305217201894712,1.034651303515429,1.0876792118765157,2267147.7844168367,2276232.8677339437,1601185.9844168369,1769469.4677339438,665961.8,506763.4
20230314,1.0281967438034505,1.0326052749454717,1.0777042123072498,2262032.8363675913,2271731.6048800377,1695633.136367591,1769615.7048800376,566399.7000000001,502115.9
20230315,1.029432412495904,1.0337702518690208,1.0828912127380188,2264751.3074909886,2274294.554111846,1883705.7074909888,1769761.954111846,381045.6,504532.6
20230316,1.0235995909155053,1.0290820257859585,1.0665322131688235,2251919.100014112,2263980.456729109,1348177.8000141117,1559644.956729109,903741.3,704335.5
20230317,1.0267102608286915,1.0316454701092874,1.0745122135996639,2258762.5738231214,2269620.034240432,1356338.273823121,1459296.3342404321,902424.3,810323.7000000001
20230320,1.0242777122057596,1.0296739008253197,1.07012321403054,2253410.966852671,2265282.5818157033,1027468.766852671,1246927.1818157034,1225942.2,1018355.4
20230321,1.0297388153001827,1.0355888334767778,1.0836892144614518,2265425.393660402,2278295.4336489113,1295541.7936604016,1247030.2336489114,969883.6000000001,1031265.2000000001
20230322,1.0319788569782975,1.0377106566143632,1.0880782148923986,2270353.4853522545,2282963.444551599,846859.4853522545,1051995.6445515992,1423494.0,1230967.8
20230323,1.0331227693312384,1.03935292677139,1.0920682153233816,2272870.0925287246,2286576.438897058,1525669.0925287246,1293866.538897058,747201.0,992709.9
20230324,1.033372457279717,1.039659966694989,1.0928662157543998,2273419.406015377,2287251.926728976,1682617.106015377,1494311.4267289757,590802.2999999999,792940.5
20230327,1.0333235917292953,1.0395656819900247,1.094462216185454,2273311.90180445,2287044.5003780546,2273311.90180445,2287044.5003780546,0.0,0.0
20230328,1.0324679148382028,1.039178549206919,1.0884772166165442,2271429.412644046,2286192.8082552217,2066829.412644046,2183347.2082552216,204600.00000000003,102845.6
20230329,1.032745281274461,1.0393609630890446,1.0844872170476691,2272039.6188038145,2286594.1187958983,2272039.6188038145,2286594.1187958983,0.0,0.0
20230330,1.0328306321241534,1.0394468606893001,1.08528521747883,2272227.3906731373,2286783.09351646,2272227.3906731373,2286783.09351646,0.0,0.0
20230331,1.0329159900276346,1.0395327653885307,1.0940632179100267,2272415.178060796,2286972.0838547675,2272415.178060796,2286972.0838547675,0.0,0.0
20230403,1.0330013549854882,1.039618677187323,1.1088262183412587,2272602.980968074,2287161.0898121106,2272602.980968074,2287161.0898121106,0.0,0.0
20230404,1.0328298589054992,1.039704596086264,1.107230218772527,2272225.6895920984,2287350.111389781,2124595.6895920984,2287350.111389781,147630.0,0.0
20230406,1.03367128093969,1.0402267962638654,1.1108212192038303,2274076.818067318,2288498.9517805036,1877078.418067318,2088886.1517805038,396998.39999999997,199612.8
20230407,1.0363705404704762,1.0419906913685313,1.1203972196351695,2280015.189035048,2292379.5210107686,1583350.3890350477,1841695.5210107688,696664.7999999999,450684.0
20230410,1.0339279380998732,1.0397612509747205,1.1104222200665443,2274641.463819721,2287474.752144385,1649301.3638197207,1751747.2521443854,625340.1,535727.5
20230411,1.0334776283181006,1.0396633281592935,1.1108212204979546,2273650.7822998213,2287259.321950446,2173705.182299821,1966264.121950446,99945.59999999999,320995.19999999995
20230412,1.0336055711185688,1.0398858488944696,1.1168062209294007,2273932.256460851,2287748.867567833,2273932.256460851,2287748.867567833,0.0,0.0
20230413,1.033690993066595,1.039971789873717,1.1100232213608827,2274120.184746509,2287937.9377221777,2274120.184746509,2287937.9377221777,0.0,0.0
20230414,1.0337764220742864,1.040057737955525,1.1168062217924,2274308.12856343,2288127.0235021547,2274308.12856343,2288127.0235021547,0.0,0.0
20230417,1.0338618581422263,1.04014369314048,1.1176042222239533,2274496.087912898,2288316.124909056,2274496.087912898,2288316.124909056,0.0,0.0
20230418,1.0339473012709983,1.0402296554291692,1.1132152226555418,2274684.0627961964,2288505.2419441724,2274684.0627961964,2288505.2419441724,0.0,0.0
20230419,1.034032751461186,1.04031562482218,1.1084272230871663,2274872.053214609,2288694.374608796,2274872.053214609,2288694.374608796,0.0,0.0
20230420,1.034118208713373,1.0404016013200992,1.1084272235188264,2275060.0591694205,2288883.522904218,2275060.0591694205,2288883.522904218,0.0,0.0
20230421,1.0342036730281428,1.040487584923514,1.0804972239505224,2275248.080661914,2289072.686831731,2275248.080661914,2289072.686831731,0.0,0.0
20230424,1.0342891444060789,1.040573575633012,1.0717192243822538,2275436.1176933735,2289261.866392626,2275436.1176933735,2289261.866392626,0.0,0.0
20230425,1.0343746228477653,1.04065957344918,1.0525672248140208,2275624.1702650837,2289451.0615881956,2275624.1702650837,2289451.0615881956,0.0,0.0
20230426,1.0344601083537859,1.0407455783726054,1.0557592252458237,2275812.2383783287,2289640.272419732,2275812.2383783287,2289640.272419732,0.0,0.0
20230427,1.034545600924724,1.0408315904038759,1.0581532256776622,2276000.322034393,2289829.498888527,2276000.322034393,2289829.498888527,0.0,0.0
20230428,1.0346311005611641,1.0409176095435788,1.0741132261095363,2276188.421234561,2290018.740995873,2276188.421234561,2290018.740995873,0.0,0.0
20230504,1.0347166072636897,1.0410036357923014,1.0713202265414463,2276376.5359801175,2290207.998743063,2276376.5359801175,2290207.998743063,0.0,0.0
20230505,1.0347627118199323,1.041089669150631,1.059749226973392,2276477.966003851,2290397.2721313885,2267713.166003851,2290397.2721313885,8764.800000000001,0.0
20230508,1.035679288472824,1.0415966481130114,1.066133227405373,2278494.434640213,2291512.6258486253,2025723.234640213,2164325.425848625,252771.2,127187.20000000001
20230509,1.0320120885145263,1.0393612982165534,1.05336522783739,2270426.5947319577,2286594.8560764175,1681706.5947319574,1928346.8560764177,588720.0,358248.0
20230510,1.031456977101255,1.039057498506307,1.0553602282694428,2269205.349622761,2285926.4967138753,2269205.349622761,2285926.4967138753,0.0,0.0
20230511,1.0315422214795278,1.0391433710268447,1.054562228701531,2269392.8872549613,2286115.4162590583,2269392.8872549613,2286115.4162590583,0.0,0.0
20230512,1.0316274729027906,1.039229250644285,1.0413952291336552,2269580.4403861393,2286304.351417427,2269580.4403861393,2286304.351417427,0.0,0.0
20230515,1.0317127313716254,1.0393151373592142,1.048577229565815,2269768.009017576,2286493.302190271,2269768.009017576,2286493.302190271,0.0,0.0
20230516,1.0317979968866149,1.039401031172219,1.0390012299980107,2269955.593150553,2286682.268578882,2269955.593150553,2286682.268578882,0.0,0.0
20230517,1.031883269448341,1.0394869320838862,1.0441882304302417,2270143.1927863504,2286871.2505845497,2270143.1927863504,2286871.2505845497,0.0,0.0
20230518,1.0319685490573864,1.0395728400948023,1.0489762308625088,2270330.80792625,2287060.248208565,2270330.80792625,2287060.248208565,0.0,0.0
20230519,1.0320538357143332,1.039658755205554,1.0533652312948114,2270518.438571533,2287249.261452219,2270518.438571533,2287249.261452219,0.0,0.0
20230522,1.032094862626949,1.0397446774167283,1.0513702317271498,2270608.697779288,2287438.290316802,2169424.697779288,2287438.290316802,101183.99999999999,0.0
20230523,1.0321920587407278,1.0398306067289114,1.041395232159524,2270822.5292296014,2287627.334803605,2270822.5292296014,2287627.334803605,0.0,0.0
