trade_date,code,asset_type,side,target_shares,order_shares,reason
20250303,512100.SH,ETF,SELL,277800,115000,timing
20250304,512100.SH,ETF,SELL,0,277800,timing
20250306,512100.SH,ETF,BUY,48800,48800,timing
20250307,512100.SH,ETF,BUY,221300,172500,timing
20250312,512100.SH,ETF,SELL,162400,58900,timing
20250313,512100.SH,ETF,BUY,295700,133300,timing
20250317,512100.SH,ETF,BUY,397700,102000,timing
20250319,512100.SH,ETF,BUY,502100,104400,timing
20250320,512100.SH,ETF,SELL,387500,114600,timing
20250324,512100.SH,ETF,SELL,327800,59700,timing
20250325,512100.SH,ETF,SELL,266500,61300,timing
20250326,512100.SH,ETF,SELL,0,266500,timing
20250410,512100.SH,ETF,BUY,193400,193400,timing
20250411,512100.SH,ETF,BUY,525700,332300,timing
20250416,512100.SH,ETF,SELL,326500,199200,timing
20250417,512100.SH,ETF,SELL,238600,87900,timing
20250422,512100.SH,ETF,BUY,438200,199600,timing
20250425,512100.SH,ETF,SELL,246400,191800,timing
20250428,512100.SH,ETF,SELL,0,246400,timing
20250507,512100.SH,ETF,BUY,212300,212300,timing
20250508,512100.SH,ETF,BUY,424400,212100,timing
20250509,512100.SH,ETF,BUY,544800,120400,timing
20250512,512100.SH,ETF,SELL,368900,175900,timing
20250513,512100.SH,ETF,SELL,250800,118100,timing
20250514,512100.SH,ETF,SELL,155400,95400,timing
20250515,512100.SH,ETF,BUY,335100,179700,timing
20250516,512100.SH,ETF,BUY,444100,109000,timing
20250519,512100.SH,ETF,BUY,606300,162200,timing
20250520,512100.SH,ETF,BUY,736700,130400,timing
20250521,512100.SH,ETF,BUY,822500,85800,timing
20250522,512100.SH,ETF,SELL,744900,77600,timing
20250523,512100.SH,ETF,SELL,447400,297500,timing
20250526,512100.SH,ETF,SELL,0,447400,timing
20250527,512100.SH,ETF,BUY,46400,46400,timing
20250528,512100.SH,ETF,BUY,262300,215900,timing
20250529,512100.SH,ETF,BUY,414500,152200,timing
20250530,512100.SH,ETF,BUY,612000,197500,timing
20250603,512100.SH,ETF,SELL,467900,144100,timing
20250605,512100.SH,ETF,SELL,400500,67400,timing
20250606,512100.SH,ETF,BUY,459200,58700,timing
