trade_date,A0,A1,A2,A3,A4,B1,B2,BENCH
20231225,1.090713,1.090713,1.029047,1.020568,1.012750,1.302037,1.276692,1.104256
20231226,1.075664,1.075664,1.013647,1.005746,0.997378,1.283680,1.263278,1.091859
20231227,1.083814,1.083814,1.018176,1.010236,0.998589,1.274494,1.250361,1.099848
20231228,1.105646,1.105646,1.038463,1.029202,1.017412,1.316153,1.288193,1.121262
20231229,1.121360,1.121360,1.054109,1.044003,1.033572,1.310326,1.277302,1.139684
20240102,1.121846,1.121846,1.052437,1.043223,1.031479,1.316195,1.277756,1.143854
20240103,1.115983,1.115983,1.048066,1.038221,1.029499,1.348857,1.305067,1.139251
20240104,1.114364,1.114364,1.044612,1.034719,1.026904,1.369796,1.328525,1.135860
20240105,1.098849,1.098849,1.028381,1.019252,1.010705,1.396598,1.352774,1.115329
20240108,1.077089,1.077089,1.006316,0.996413,0.991187,1.369982,1.320430,1.092115
20240109,1.083005,1.083005,1.010291,1.000312,0.994136,1.386180,1.329821,1.096099
20240110,1.075986,1.075986,1.003755,0.994727,0.986733,1.420577,1.361591,1.087738
20240111,1.091854,1.091854,1.018990,1.009736,1.001110,1.415139,1.357291,1.106001
20240112,1.081362,1.081362,1.009611,1.000792,0.990656,1.443851,1.389982,1.093070
20240115,1.079900,1.079900,1.008233,0.999262,0.989403,1.432201,1.376854,1.089061
20240116,1.073654,1.073654,1.003440,0.994428,0.983195,1.423248,1.369317,1.089017
20240117,1.049501,1.049501,0.980571,0.971893,0.962853,1.428356,1.372181,1.062196
20240118,1.034523,1.034523,0.969686,0.960325,0.952382,1.408504,1.355206,1.057483
20240119,1.028380,1.028380,0.964506,0.954904,0.951663,1.439608,1.386184,1.046469
20240122,0.967539,0.967539,0.909113,0.900869,0.901815,1.424645,1.367575,0.986999
20240123,0.963737,0.963737,0.910489,0.901369,0.905094,1.435254,1.384383,0.990419
20240124,0.978276,0.978276,0.923831,0.913830,0.920303,1.435601,1.386347,1.004847
20240125,1.017898,1.017898,0.961134,0.950408,0.955151,1.458112,1.406747,1.038794
20240126,1.018154,1.018154,0.960546,0.950261,0.955696,1.474515,1.424180,1.034493
20240129,0.985456,0.985456,0.934727,0.924645,0.928478,1.490815,1.454145,1.000551
20240130,0.948116,0.948116,0.899329,0.888922,0.891401,1.512581,1.474569,0.969863
20240131,0.903725,0.903725,0.860788,0.848499,0.855353,1.527571,1.493493,0.926899
20240201,0.880082,0.880082,0.838494,0.827900,0.831194,1.477368,1.433627,0.911873
20240202,0.834277,0.834277,0.793717,0.784506,0.788731,1.471121,1.423245,0.872406
20240205,0.747844,0.747844,0.714446,0.710836,0.712807,1.463555,1.413323,0.802472
20240206,0.754502,0.754502,0.720113,0.719313,0.727675,1.461162,1.417877,0.826134
20240207,0.737910,0.737910,0.705083,0.707811,0.723410,1.495467,1.452749,0.814665
20240208,0.808932,0.808932,0.769387,0.771196,0.793131,1.547102,1.505347,0.868237
20240219,0.836352,0.836352,0.795419,0.794337,0.815187,1.498749,1.444426,0.897064
20240220,0.845495,0.845495,0.803790,0.802035,0.820003,1.482890,1.432854,0.909313
20240221,0.861997,0.861997,0.821116,0.817935,0.835768,1.489022,1.439492,0.923980
20240222,0.882198,0.882198,0.837755,0.832915,0.851447,1.474787,1.422841,0.944262
20240223,0.913034,0.913034,0.865485,0.858674,0.877236,1.462978,1.410243,0.968159
20240226,0.935774,0.935774,0.881447,0.873682,0.893420,1.476068,1.415367,0.982058
20240227,0.963677,0.963677,0.901891,0.893188,0.914372,1.452041,1.388776,1.010559
20240228,0.889922,0.889922,0.835450,0.830829,0.853158,1.431418,1.371660,0.950875
20240229,0.920374,0.920374,0.863496,0.857640,0.879722,1.414438,1.362386,0.986568
20240301,0.925395,0.925395,0.867411,0.859406,0.882403,1.403706,1.351841,0.997468
20240304,0.927442,0.927442,0.868614,0.861521,0.886489,1.393086,1.342538,0.998218
20240305,0.909541,0.909541,0.853803,0.849450,0.874843,1.374413,1.334154,0.982198
20240306,0.920927,0.920927,0.863857,0.860127,0.885161,1.364369,1.328072,0.992515
20240307,0.918362,0.918362,0.861282,0.858002,0.880915,1.401938,1.359818,0.983517
20240308,0.920727,0.920727,0.867574,0.864123,0.885325,1.388204,1.346926,0.993684
20240311,0.936686,0.936686,0.884126,0.879849,0.900005,1.396532,1.352778,1.012909
20240312,0.947372,0.947372,0.894257,0.888817,0.908471,1.397677,1.356216,1.024770
20240313,0.949509,0.949509,0.896602,0.890045,0.912799,1.395752,1.357079,1.025999
20240314,0.942247,0.942247,0.889275,0.883750,0.908978,1.394334,1.349871,1.020239
20240315,0.954826,0.954826,0.904738,0.898079,0.925086,1.401001,1.353018,1.036366
20240318,0.973892,0.973892,0.918900,0.910875,0.938454,1.396816,1.339770,1.056488
20240319,0.971917,0.971917,0.917764,0.909463,0.937945,1.397405,1.351459,1.053285
20240320,0.985053,0.985053,0.929097,0.918861,0.950870,1.407142,1.350588,1.065334
20240321,0.985462,0.985462,0.932415,0.921923,0.954388,1.408152,1.344544,1.065548
20240322,0.973204,0.973204,0.922509,0.912238,0.947637,1.410354,1.352015,1.050383
20240325,0.951132,0.951132,0.901940,0.894005,0.927894,1.435518,1.380061,1.024762
20240326,0.946949,0.946949,0.897239,0.889442,0.922004,1.453313,1.388783,1.024222
20240327,0.921860,0.921860,0.866688,0.859333,0.893713,1.490131,1.419447,0.992856
20240328,0.945299,0.945299,0.889323,0.878109,0.916674,1.484743,1.419058,1.015468
20240329,0.955743,0.955743,0.902525,0.890847,0.927723,1.487269,1.423802,1.027741
20240401,0.970459,0.970459,0.915860,0.904818,0.939204,1.476322,1.418154,1.049896
20240402,0.971753,0.971753,0.913934,0.903301,0.934259,1.499894,1.443275,1.048237
20240403,0.967607,0.967607,0.910021,0.900707,0.926273,1.553498,1.494335,1.039728
20240408,0.941515,0.941515,0.885221,0.878845,0.900571,1.558038,1.506584,1.014322
20240409,0.955422,0.955422,0.898494,0.890710,0.914122,1.592264,1.536982,1.028866
20240410,0.936598,0.936598,0.877278,0.871633,0.892098,1.567514,1.516116,1.009805
20240411,0.940670,0.940670,0.881633,0.875783,0.894334,1.620455,1.564862,1.011311
20240412,0.931620,0.931620,0.874169,0.870088,0.885122,1.620369,1.564957,1.003847
20240415,0.894049,0.894049,0.843893,0.844959,0.853573,1.639192,1.590026,0.970576
20240416,0.842586,0.842586,0.795660,0.800656,0.808322,1.696400,1.638945,0.908591
20240417,0.888426,0.888426,0.837268,0.840410,0.848165,1.615365,1.556192,0.962633
20240418,0.884713,0.884713,0.837626,0.841162,0.851731,1.588157,1.536498,0.961119
20240419,0.874446,0.874446,0.828382,0.833279,0.839052,1.547082,1.492830,0.954888
20240422,0.879939,0.879939,0.828728,0.833037,0.842380,1.638570,1.573493,0.948853
20240423,0.889499,0.889499,0.836546,0.839981,0.852068,1.621489,1.556079,0.955329
