trade_date,nav,daily_ret,nav_long,nav_short,long_ret,short_ret
20240514,1.460670,0.002613,0.996934,1.536171,0.005405,-0.002792
20240515,1.444059,-0.011372,0.993454,1.524064,-0.003491,-0.007882
20240516,1.425799,-0.012645,0.997884,1.497996,0.004459,-0.017104
20240517,1.410383,-0.010812,1.014661,1.456616,0.016812,-0.027624
20240520,1.402879,-0.005321,1.017299,1.445079,0.002600,-0.007920
20240521,1.410910,0.005724,1.002408,1.474504,-0.014638,0.020362
20240522,1.410694,-0.000153,1.005483,1.469754,0.003068,-0.003221
20240523,1.427091,0.011623,0.982684,1.520164,-0.022675,0.034298
20240524,1.453583,0.018564,0.973769,1.562174,-0.009072,0.027635
20240527,1.438955,-0.010063,0.975847,1.543120,0.002134,-0.012197
20240528,1.479912,0.028463,0.971140,1.594486,-0.004824,0.033287
20240529,1.477170,-0.001853,0.973150,1.588232,0.002070,-0.003922
20240530,1.505025,0.018857,0.969720,1.623779,-0.003524,0.022381
20240531,1.505622,0.000397,0.975283,1.615108,0.005737,-0.005340
20240603,1.460998,-0.029638,0.948125,1.627809,-0.027846,0.007864
20240604,1.444473,-0.011311,0.933025,1.635322,-0.015926,0.004615
20240605,1.466201,0.015042,0.911304,1.697992,-0.023281,0.038323
20240606,1.449141,-0.011636,0.869704,1.755745,-0.045648,0.034012
20240607,1.485787,0.025288,0.897185,1.744667,0.031598,-0.006310
20240611,1.458621,-0.018284,0.897262,1.712619,0.000085,-0.018369
20240612,1.439952,-0.012799,0.913193,1.660291,0.017756,-0.030554
20240613,1.440096,0.000100,0.906559,1.672518,-0.007265,0.007365
20240614,1.439944,-0.000105,0.908849,1.668116,0.002527,-0.002632
20240617,1.440494,0.000382,0.901230,1.682738,-0.008383,0.008765
20240618,1.411920,-0.019836,0.908323,1.636116,0.007870,-0.027706
20240619,1.407470,-0.003151,0.905778,1.635542,-0.002801,-0.000350
20240620,1.452634,0.032088,0.892811,1.711440,-0.014317,0.046405
20240621,1.452767,0.000092,0.889057,1.718792,-0.004204,0.004296
20240624,1.442496,-0.007069,0.853086,1.776183,-0.040460,0.033390
20240625,1.457974,0.010730,0.860712,1.779363,0.008939,0.001791
20240626,1.481193,0.015925,0.888735,1.749768,0.032558,-0.016633
20240627,1.501148,0.013473,0.874108,1.802139,-0.016458,0.029930
20240628,1.466218,-0.023269,0.876703,1.754855,0.002969,-0.026238
20240701,1.464688,-0.001044,0.877562,1.769418,0.000980,0.008299
20240702,1.475460,0.007354,0.880435,1.776639,0.003273,0.004081
20240703,1.510313,0.023622,0.872950,1.833711,-0.008502,0.032123
20240704,1.514030,0.002461,0.843052,1.901026,-0.034249,0.036710
20240705,1.549872,0.023673,0.851445,1.927105,0.009955,0.013719
20240708,1.542962,-0.004458,0.824554,1.979376,-0.031582,0.027124
20240709,1.503151,-0.025802,0.845048,1.879109,0.024854,-0.050656
20240710,1.484484,-0.012418,0.839116,1.868964,-0.007020,-0.005399
20240711,1.504128,0.013233,0.872604,1.819107,0.039909,-0.026676
20240712,1.513168,0.006010,0.867476,1.840730,-0.005876,0.011887
20240715,1.500372,-0.008457,0.847888,1.866729,-0.022581,0.014124
20240716,1.509756,0.006255,0.851841,1.869703,0.004662,0.001593
20240717,1.551630,0.027735,0.836878,1.954400,-0.017564,0.045300
20240718,1.522656,-0.018673,0.826635,1.941827,-0.012240,-0.006433
20240719,1.515679,-0.004583,0.835555,1.911975,0.010790,-0.015373
20240722,1.492862,-0.015054,0.841255,1.870151,0.006821,-0.021875
20240723,1.475522,-0.011615,0.821246,1.892910,-0.023785,0.012169
20240724,1.497366,0.014804,0.807987,1.951494,-0.016145,0.030949
20240725,1.510477,0.008756,0.811937,1.959040,0.004889,0.003867
20240726,1.515192,0.003122,0.826884,1.929091,0.018409,-0.015288
20240729,1.478128,-0.024462,0.834764,1.863517,0.009530,-0.033992
20240730,1.474346,-0.002558,0.839484,1.848214,0.005654,-0.008212
20240731,1.497628,0.015792,0.870591,1.808915,0.037054,-0.021263
20240801,1.468214,-0.019641,0.871784,1.787580,0.001371,-0.011794
20240802,1.499410,0.021248,0.859992,1.849743,-0.013527,0.034775
20240805,1.535778,0.024255,0.838179,1.941525,-0.025364,0.049619
20240806,1.555243,0.012674,0.849596,1.939687,0.013621,-0.000947
20240807,1.576891,0.013920,0.852840,1.959281,0.003818,0.010102
20240808,1.613177,0.023011,0.852746,2.004580,-0.000109,0.023120
20240809,1.616849,0.002276,0.851818,2.011324,-0.001088,0.003364
20240812,1.640820,0.014826,0.848869,2.048106,-0.003462,0.018288
20240813,1.623825,-0.010358,0.857755,2.005453,0.010468,-0.020826
20240814,1.596910,-0.016575,0.855868,1.976626,-0.002201,-0.014374
20240815,1.579262,-0.011051,0.859010,1.947525,0.003671,-0.014722
20240816,1.605637,0.016701,0.857185,1.984188,-0.002124,0.018825
20240819,1.624783,0.011925,0.853078,2.017354,-0.004791,0.016715
20240820,1.641424,0.010242,0.844372,2.058604,-0.010206,0.020448
20240821,1.610920,-0.018584,0.842755,2.024290,-0.001915,-0.016668
20240822,1.621343,0.006470,0.831094,2.065397,-0.013837,0.020307
20240823,1.662086,0.025129,0.837569,2.101206,0.007792,0.017337
20240826,1.678077,0.009621,0.847032,2.097682,0.011298,-0.001677
20240827,1.696082,0.010730,0.836074,2.147327,-0.012937,0.023667
20240828,1.704374,0.004889,0.837892,2.153157,0.002174,0.002715
20240829,1.703135,-0.000727,0.852418,2.114262,0.017337,-0.018064
20240830,1.670495,-0.019165,0.867641,2.035987,0.017858,-0.037023
20240902,1.651295,-0.011494,0.848363,2.079033,-0.022218,0.021143
20240903,1.678984,0.016768,0.858558,2.088909,0.012017,0.004751
20240904,1.718970,0.023816,0.851741,2.155246,-0.007941,0.031757
20240905,1.732487,0.007864,0.863049,2.143578,0.013277,-0.005414
20240906,1.731592,-0.000517,0.844111,2.189509,-0.021944,0.021427
20240909,1.729990,-0.000925,0.839272,2.200034,-0.005732,0.004807
20240910,1.754587,0.014218,0.848132,2.208089,0.010557,0.003661
20240911,1.770952,0.009327,0.842738,2.242729,-0.006360,0.015688
20240912,1.773339,0.001348,0.840796,2.250919,-0.002304,0.003652
20240913,1.784332,0.006199,0.829986,2.293812,-0.012857,0.019056
20240918,1.808973,0.013810,0.826050,2.336367,-0.004742,0.018552
20240919,1.791538,-0.009638,0.844436,2.261846,0.022258,-0.031896
20240920,1.770600,-0.011688,0.841462,2.243377,-0.003522,-0.008165
20240923,1.759730,-0.006139,0.844382,2.221820,0.003470,-0.009609
20240924,1.780751,0.011945,0.873572,2.171554,0.034569,-0.022624
20240925,1.780752,0.000001,0.886196,2.140174,0.014451,-0.014450
20240926,1.803152,0.012579,0.919385,2.086942,0.037451,-0.024873
20240927,1.787780,-0.008525,0.964428,1.966907,0.048992,-0.057517
20240930,1.741479,-0.025899,1.077838,1.684673,0.117593,-0.143491
20241008,1.647661,-0.053873,1.190564,1.433339,0.104586,-0.149188
20241009,1.639777,-0.004785,1.094389,1.542268,-0.080781,0.075996
20241010,1.703729,0.039000,1.096545,1.599378,0.001970,0.037030
20241011,1.717956,0.008351,1.059689,1.666490,-0.033611,0.041962
20241014,1.640356,-0.045170,1.086056,1.549749,0.024882,-0.070052
20241015,1.628982,-0.006934,1.073364,1.557115,-0.011687,0.004753
20241016,1.622984,-0.003682,1.077394,1.545535,0.003755,-0.007437
20241017,1.633335,0.006378,1.082046,1.548719,0.004318,0.002060
20241018,1.602866,-0.018654,1.110494,1.479112,0.026291,-0.044945
20241021,1.568091,-0.021696,1.132305,1.417971,0.019641,-0.041337
20241022,1.601915,0.021570,1.137894,1.441557,0.004937,0.016634
20241023,1.620649,0.011695,1.144044,1.450624,0.005405,0.006290
20241024,1.643758,0.014259,1.140010,1.476425,-0.003527,0.017786
20241025,1.642379,-0.000839,1.163362,1.444942,0.020484,-0.021323
20241028,1.600620,-0.025426,1.183292,1.383449,0.017132,-0.042558
20241029,1.610854,0.006394,1.168329,1.409789,-0.012645,0.019039
20241030,1.606831,-0.002498,1.171043,1.402993,0.002323,-0.004821
20241031,1.575846,-0.019283,1.185002,1.359215,0.011920,-0.031203
20241101,1.665648,0.056987,1.139385,1.501174,-0.038495,0.104442
20241104,1.668791,0.001887,1.166988,1.467640,0.024226,-0.022339
20241105,1.632319,-0.021855,1.202474,1.390935,0.030409,-0.052264
20241106,1.625493,-0.004182,1.207111,1.379755,0.003856,-0.008038
20241107,1.628341,0.001752,1.231535,1.354254,0.020234,-0.018482
20241108,1.630894,0.001568,1.244733,1.341865,0.010717,-0.009149
20241111,1.660864,0.018376,1.287000,1.320958,0.033957,-0.015580
20241112,1.682554,0.013059,1.272399,1.353195,-0.011345,0.024404
20241113,1.698253,0.009330,1.281595,1.356041,0.007227,0.002103
20241114,1.717209,0.011162,1.246213,1.408615,-0.027608,0.038770
20241115,1.790661,0.042774,1.235999,1.480413,-0.008196,0.050970
20241118,1.843062,0.029263,1.201013,1.565638,-0.028306,0.057569
20241119,1.798844,-0.023991,1.226764,1.494507,0.021441,-0.045432
20241120,1.819100,0.011260,1.259619,1.471311,0.026781,-0.015521
20241121,1.821855,0.001514,1.266240,1.465805,0.005257,-0.003742
20241122,1.860668,0.021304,1.238483,1.529165,-0.021921,0.043225
20241125,1.890332,0.015943,1.254990,1.533162,0.013329,0.002614
20241126,1.910494,0.010665,1.237081,1.571393,-0.014270,0.024936
20241127,1.872876,-0.019690,1.248797,1.525571,0.009470,-0.029160
20241128,1.853501,-0.010345,1.242783,1.517134,-0.004816,-0.005530
20241129,1.834410,-0.010300,1.265786,1.473427,0.018509,-0.028809
20241202,1.775821,-0.031939,1.277002,1.427346,0.008860,-0.031275
20241203,1.751008,-0.013973,1.277068,1.407327,0.000052,-0.014025
20241204,1.748241,-0.001580,1.254980,1.429445,-0.017296,0.015716
20241205,1.762056,0.007902,1.281402,1.410646,0.021053,-0.013151
20241206,1.793670,0.017942,1.295905,1.419989,0.011319,0.006623
20241209,1.784843,-0.004921,1.291718,1.417588,-0.003231,-0.001690
20241210,1.763256,-0.012095,1.304077,1.386881,0.009567,-0.021662
20241211,1.787216,0.013588,1.324811,1.383675,0.015900,-0.002312
20241212,1.779371,-0.004389,1.334004,1.368000,0.006939,-0.011328
20241213,1.791039,0.006557,1.320603,1.390714,-0.010046,0.016603
20241216,1.821266,0.016877,1.309064,1.426336,-0.008737,0.025615
20241217,1.873747,0.028815,1.275772,1.503711,-0.025432,0.054247
20241218,1.872708,-0.000555,1.294242,1.481106,0.014478,-0.015032
20241219,1.898091,0.013554,1.303998,1.490018,0.007538,0.006017
20241220,1.879021,-0.010047,1.318875,1.458048,0.011409,-0.021456
20241223,1.917254,0.020347,1.276757,1.534278,-0.031935,0.052282
20241224,1.935045,0.009279,1.291157,1.531210,0.011279,-0.002000
20241225,1.972301,0.019253,1.269651,1.586195,-0.016656,0.035909
20241226,2.004865,0.016511,1.294814,1.580948,0.019819,-0.003308
20241227,2.021933,0.008513,1.304514,1.582564,0.007491,0.001022
20241230,2.035637,0.006778,1.301356,1.597121,-0.002421,0.009199
20241231,2.055810,0.009910,1.271519,1.649567,-0.022928,0.032838
20250102,1.973911,-0.039838,1.244128,1.635111,-0.021542,-0.008764
20250103,2.039273,0.033113,1.200252,1.746920,-0.035266,0.068380
20250106,2.101526,0.030527,1.193824,1.809604,-0.005356,0.035883
